breed,category,characteristic,star
Barbet, Physical Needs,Potential For Playfulness,4
Soft Coated Wheaten Terrier, Adaptability,Adapts Well To Apartment Living,5
Soft Coated Wheaten Terrier, Adaptability,Good For Novice Owners,4
Soft Coated Wheaten Terrier, Adaptability,Sensitivity Level,4
Soft Coated Wheaten Terrier, Adaptability,Tolerates Being Alone,2
Soft Coated Wheaten Terrier, Adaptability,Tolerates Cold Weather,2
Soft Coated Wheaten Terrier, Adaptability,Tolerates Hot Weather,3
Soft Coated Wheaten Terrier, All Around Friendliness,Affectionate With Family,5
Soft Coated Wheaten Terrier, All Around Friendliness,Kid-Friendly,5
Soft Coated Wheaten Terrier, All Around Friendliness,Dog Friendly,5
Soft Coated Wheaten Terrier, All Around Friendliness,Friendly Toward Strangers,5
Soft Coated Wheaten Terrier, Health And Grooming Needs,Amount Of Shedding,2
Soft Coated Wheaten Terrier, Health And Grooming Needs,Drooling Potential,1
Soft Coated Wheaten Terrier, Health And Grooming Needs,Easy To Groom,3
Soft Coated Wheaten Terrier, Health And Grooming Needs,General Health,4
Soft Coated Wheaten Terrier, Health And Grooming Needs,Potential For Weight Gain,3
Soft Coated Wheaten Terrier, Health And Grooming Needs,Size,3
Soft Coated Wheaten Terrier, Trainability,Easy To Train,4
Soft Coated Wheaten Terrier, Trainability,Intelligence,4
Soft Coated Wheaten Terrier, Trainability,Potential For Mouthiness,2
Soft Coated Wheaten Terrier, Trainability,Prey Drive,3
Soft Coated Wheaten Terrier, Trainability,Tendency To Bark Or Howl,3
Soft Coated Wheaten Terrier, Trainability,Wanderlust Potential,4
Soft Coated Wheaten Terrier, Physical Needs,Energy Level,4
Soft Coated Wheaten Terrier, Physical Needs,Intensity,3
Soft Coated Wheaten Terrier, Physical Needs,Exercise Needs,4
Soft Coated Wheaten Terrier, Physical Needs,Potential For Playfulness,5
Wirehaired Pointing Griffon, Adaptability,Adapts Well To Apartment Living,1
Wirehaired Pointing Griffon, Adaptability,Good For Novice Owners,3
Wirehaired Pointing Griffon, Adaptability,Sensitivity Level,4
Wirehaired Pointing Griffon, Adaptability,Tolerates Being Alone,1
Wirehaired Pointing Griffon, Adaptability,Tolerates Cold Weather,4
Wirehaired Pointing Griffon, Adaptability,Tolerates Hot Weather,3
Wirehaired Pointing Griffon, All Around Friendliness,Affectionate With Family,5
Wirehaired Pointing Griffon, All Around Friendliness,Kid-Friendly,5
Wirehaired Pointing Griffon, All Around Friendliness,Dog Friendly,4
Wirehaired Pointing Griffon, All Around Friendliness,Friendly Toward Strangers,5
Wirehaired Pointing Griffon, Health And Grooming Needs,Amount Of Shedding,1
Wirehaired Pointing Griffon, Health And Grooming Needs,Drooling Potential,1
Wirehaired Pointing Griffon, Health And Grooming Needs,Easy To Groom,3
Wirehaired Pointing Griffon, Health And Grooming Needs,General Health,4
Wirehaired Pointing Griffon, Health And Grooming Needs,Potential For Weight Gain,3
Wirehaired Pointing Griffon, Health And Grooming Needs,Size,3
Wirehaired Pointing Griffon, Trainability,Easy To Train,5
Wirehaired Pointing Griffon, Trainability,Intelligence,5
Wirehaired Pointing Griffon, Trainability,Potential For Mouthiness,3
Wirehaired Pointing Griffon, Trainability,Prey Drive,4
Wirehaired Pointing Griffon, Trainability,Tendency To Bark Or Howl,4
Wirehaired Pointing Griffon, Trainability,Wanderlust Potential,4
Wirehaired Pointing Griffon, Physical Needs,Energy Level,5
Wirehaired Pointing Griffon, Physical Needs,Intensity,3
Wirehaired Pointing Griffon, Physical Needs,Exercise Needs,4
Wirehaired Pointing Griffon, Physical Needs,Potential For Playfulness,5
Transylvanian Hound, Adaptability,Adapts Well To Apartment Living,3
Transylvanian Hound, Adaptability,Good For Novice Owners,2
Transylvanian Hound, Adaptability,Sensitivity Level,2
Transylvanian Hound, Adaptability,Tolerates Being Alone,3
Transylvanian Hound, Adaptability,Tolerates Cold Weather,3
Transylvanian Hound, Adaptability,Tolerates Hot Weather,3
Transylvanian Hound, All Around Friendliness,Affectionate With Family,4
Transylvanian Hound, All Around Friendliness,Kid-Friendly,3
Transylvanian Hound, All Around Friendliness,Dog Friendly,3
Transylvanian Hound, All Around Friendliness,Friendly Toward Strangers,2
Transylvanian Hound, Health And Grooming Needs,Amount Of Shedding,3
Transylvanian Hound, Health And Grooming Needs,Drooling Potential,3
Transylvanian Hound, Health And Grooming Needs,Easy To Groom,4
Transylvanian Hound, Health And Grooming Needs,General Health,4
Transylvanian Hound, Health And Grooming Needs,Potential For Weight Gain,3
Transylvanian Hound, Health And Grooming Needs,Size,3
Transylvanian Hound, Trainability,Easy To Train,2
Transylvanian Hound, Trainability,Intelligence,4
Transylvanian Hound, Trainability,Potential For Mouthiness,3
Transylvanian Hound, Trainability,Prey Drive,4
Transylvanian Hound, Trainability,Tendency To Bark Or Howl,3
Transylvanian Hound, Trainability,Wanderlust Potential,4
Transylvanian Hound, Physical Needs,Energy Level,4
Transylvanian Hound, Physical Needs,Intensity,4
Transylvanian Hound, Physical Needs,Exercise Needs,5
Transylvanian Hound, Physical Needs,Potential For Playfulness,4
Spinone Italiano, Adaptability,Adapts Well To Apartment Living,4
Spinone Italiano, Adaptability,Good For Novice Owners,4
Spinone Italiano, Adaptability,Sensitivity Level,5
Spinone Italiano, Adaptability,Tolerates Being Alone,2
Spinone Italiano, Adaptability,Tolerates Cold Weather,4
Spinone Italiano, Adaptability,Tolerates Hot Weather,3
Spinone Italiano, All Around Friendliness,Affectionate With Family,5
Spinone Italiano, All Around Friendliness,Kid-Friendly,5
Spinone Italiano, All Around Friendliness,Dog Friendly,5
Spinone Italiano, All Around Friendliness,Friendly Toward Strangers,5
Spinone Italiano, Health And Grooming Needs,Amount Of Shedding,3
Spinone Italiano, Health And Grooming Needs,Drooling Potential,4
Spinone Italiano, Health And Grooming Needs,Easy To Groom,2
Spinone Italiano, Health And Grooming Needs,General Health,3
Spinone Italiano, Health And Grooming Needs,Potential For Weight Gain,2
Spinone Italiano, Health And Grooming Needs,Size,4
Spinone Italiano, Trainability,Easy To Train,4
Spinone Italiano, Trainability,Intelligence,4
Spinone Italiano, Trainability,Potential For Mouthiness,2
Spinone Italiano, Trainability,Prey Drive,4
Spinone Italiano, Trainability,Tendency To Bark Or Howl,2
Spinone Italiano, Trainability,Wanderlust Potential,2
Spinone Italiano, Physical Needs,Energy Level,4
Spinone Italiano, Physical Needs,Intensity,2
Spinone Italiano, Physical Needs,Exercise Needs,4
Spinone Italiano, Physical Needs,Potential For Playfulness,4
Springador, Adaptability,Adapts Well To Apartment Living,2
Springador, Adaptability,Good For Novice Owners,3
Springador, Adaptability,Sensitivity Level,4
Springador, Adaptability,Tolerates Being Alone,1
Springador, Adaptability,Tolerates Cold Weather,4
Springador, Adaptability,Tolerates Hot Weather,4
Springador, All Around Friendliness,Affectionate With Family,4
Springador, All Around Friendliness,Kid-Friendly,3
Springador, All Around Friendliness,Dog Friendly,3
Springador, All Around Friendliness,Friendly Toward Strangers,3
Springador, Health And Grooming Needs,Amount Of Shedding,1
Springador, Health And Grooming Needs,Drooling Potential,2
Springador, Health And Grooming Needs,Easy To Groom,4
Springador, Health And Grooming Needs,General Health,4
Springador, Health And Grooming Needs,Potential For Weight Gain,4
Springador, Health And Grooming Needs,Size,4
Springador, Trainability,Easy To Train,5
Springador, Trainability,Intelligence,5
Springador, Trainability,Potential For Mouthiness,2
Springador, Trainability,Prey Drive,4
Springador, Trainability,Tendency To Bark Or Howl,3
Springador, Trainability,Wanderlust Potential,4
Springador, Physical Needs,Energy Level,4
Springador, Physical Needs,Intensity,3
Springador, Physical Needs,Exercise Needs,4
Springador, Physical Needs,Potential For Playfulness,4
Silken Windhound, Adaptability,Adapts Well To Apartment Living,4
Silken Windhound, Adaptability,Good For Novice Owners,4
Silken Windhound, Adaptability,Sensitivity Level,4
Silken Windhound, Adaptability,Tolerates Being Alone,2
Silken Windhound, Adaptability,Tolerates Cold Weather,4
Silken Windhound, Adaptability,Tolerates Hot Weather,4
Silken Windhound, All Around Friendliness,Affectionate With Family,5
Silken Windhound, All Around Friendliness,Kid-Friendly,4
Silken Windhound, All Around Friendliness,Dog Friendly,3
Silken Windhound, All Around Friendliness,Friendly Toward Strangers,4
Silken Windhound, Health And Grooming Needs,Amount Of Shedding,2
Silken Windhound, Health And Grooming Needs,Drooling Potential,2
Silken Windhound, Health And Grooming Needs,Easy To Groom,4
Silken Windhound, Health And Grooming Needs,General Health,4
Silken Windhound, Health And Grooming Needs,Potential For Weight Gain,2
Silken Windhound, Health And Grooming Needs,Size,3
Silken Windhound, Trainability,Easy To Train,5
Silken Windhound, Trainability,Intelligence,4
Silken Windhound, Trainability,Potential For Mouthiness,3
Silken Windhound, Trainability,Prey Drive,5
Silken Windhound, Trainability,Tendency To Bark Or Howl,1
Silken Windhound, Trainability,Wanderlust Potential,4
Silken Windhound, Physical Needs,Energy Level,4
Silken Windhound, Physical Needs,Intensity,2
Silken Windhound, Physical Needs,Exercise Needs,4
Silken Windhound, Physical Needs,Potential For Playfulness,5
Siberian Husky, Adaptability,Adapts Well To Apartment Living,2
Siberian Husky, Adaptability,Good For Novice Owners,1
Siberian Husky, Adaptability,Sensitivity Level,4
Siberian Husky, Adaptability,Tolerates Being Alone,1
Siberian Husky, Adaptability,Tolerates Cold Weather,5
Siberian Husky, Adaptability,Tolerates Hot Weather,3
Siberian Husky, All Around Friendliness,Affectionate With Family,5
Siberian Husky, All Around Friendliness,Kid-Friendly,5
Siberian Husky, All Around Friendliness,Dog Friendly,5
Siberian Husky, All Around Friendliness,Friendly Toward Strangers,5
Siberian Husky, Health And Grooming Needs,Amount Of Shedding,4
Siberian Husky, Health And Grooming Needs,Drooling Potential,3
Siberian Husky, Health And Grooming Needs,Easy To Groom,2
Siberian Husky, Health And Grooming Needs,General Health,4
Siberian Husky, Health And Grooming Needs,Potential For Weight Gain,2
Siberian Husky, Health And Grooming Needs,Size,3
Siberian Husky, Trainability,Easy To Train,2
Siberian Husky, Trainability,Intelligence,3
Siberian Husky, Trainability,Potential For Mouthiness,4
Siberian Husky, Trainability,Prey Drive,3
Siberian Husky, Trainability,Tendency To Bark Or Howl,5
Siberian Husky, Trainability,Wanderlust Potential,5
Siberian Husky, Physical Needs,Energy Level,5
Siberian Husky, Physical Needs,Intensity,3
Siberian Husky, Physical Needs,Exercise Needs,5
Siberian Husky, Physical Needs,Potential For Playfulness,5
Shorkie, Adaptability,Adapts Well To Apartment Living,5
Shorkie, Adaptability,Good For Novice Owners,3
Shorkie, Adaptability,Sensitivity Level,3
Shorkie, Adaptability,Tolerates Being Alone,1
Shorkie, Adaptability,Tolerates Cold Weather,2
Shorkie, Adaptability,Tolerates Hot Weather,2
Shorkie, All Around Friendliness,Affectionate With Family,4
Shorkie, All Around Friendliness,Kid-Friendly,3
Shorkie, All Around Friendliness,Dog Friendly,2
Shorkie, All Around Friendliness,Friendly Toward Strangers,3
Shorkie, Health And Grooming Needs,Amount Of Shedding,2
Shorkie, Health And Grooming Needs,Drooling Potential,1
Shorkie, Health And Grooming Needs,Easy To Groom,4
Shorkie, Health And Grooming Needs,General Health,2
Shorkie, Health And Grooming Needs,Potential For Weight Gain,3
Shorkie, Health And Grooming Needs,Size,1
Shorkie, Trainability,Easy To Train,2
Shorkie, Trainability,Intelligence,3
Shorkie, Trainability,Potential For Mouthiness,2
Shorkie, Trainability,Prey Drive,4
Shorkie, Trainability,Tendency To Bark Or Howl,4
Shorkie, Trainability,Wanderlust Potential,3
Shorkie, Physical Needs,Energy Level,4
Shorkie, Physical Needs,Intensity,3
Shorkie, Physical Needs,Exercise Needs,2
Shorkie, Physical Needs,Potential For Playfulness,5
Shollie, Adaptability,Adapts Well To Apartment Living,1
Shollie, Adaptability,Good For Novice Owners,2
Shollie, Adaptability,Sensitivity Level,3
Shollie, Adaptability,Tolerates Being Alone,2
Shollie, Adaptability,Tolerates Cold Weather,4
Shollie, Adaptability,Tolerates Hot Weather,4
Shollie, All Around Friendliness,Affectionate With Family,4
Shollie, All Around Friendliness,Kid-Friendly,4
Shollie, All Around Friendliness,Dog Friendly,3
Shollie, All Around Friendliness,Friendly Toward Strangers,2
Shollie, Health And Grooming Needs,Amount Of Shedding,4
Shollie, Health And Grooming Needs,Drooling Potential,2
Shollie, Health And Grooming Needs,Easy To Groom,3
Shollie, Health And Grooming Needs,General Health,3
Shollie, Health And Grooming Needs,Potential For Weight Gain,4
Shollie, Health And Grooming Needs,Size,4
Shollie, Trainability,Easy To Train,4
Shollie, Trainability,Intelligence,4
Shollie, Trainability,Potential For Mouthiness,3
Shollie, Trainability,Prey Drive,3
Shollie, Trainability,Tendency To Bark Or Howl,3
Shollie, Trainability,Wanderlust Potential,4
Shollie, Physical Needs,Energy Level,5
Shollie, Physical Needs,Intensity,4
Shollie, Physical Needs,Exercise Needs,4
Shollie, Physical Needs,Potential For Playfulness,4
Shiranian, Adaptability,Adapts Well To Apartment Living,4
Shiranian, Adaptability,Good For Novice Owners,4
Shiranian, Adaptability,Sensitivity Level,4
Shiranian, Adaptability,Tolerates Being Alone,2
Shiranian, Adaptability,Tolerates Cold Weather,2
Shiranian, Adaptability,Tolerates Hot Weather,1
Shiranian, All Around Friendliness,Affectionate With Family,5
Shiranian, All Around Friendliness,Kid-Friendly,3
Shiranian, All Around Friendliness,Dog Friendly,3
Shiranian, All Around Friendliness,Friendly Toward Strangers,4
Shiranian, Health And Grooming Needs,Amount Of Shedding,2
Shiranian, Health And Grooming Needs,Drooling Potential,2
Shiranian, Health And Grooming Needs,Easy To Groom,2
Shiranian, Health And Grooming Needs,General Health,2
Shiranian, Health And Grooming Needs,Potential For Weight Gain,3
Shiranian, Health And Grooming Needs,Size,2
Shiranian, Trainability,Easy To Train,2
Shiranian, Trainability,Intelligence,4
Shiranian, Trainability,Potential For Mouthiness,1
Shiranian, Trainability,Prey Drive,1
Shiranian, Trainability,Tendency To Bark Or Howl,2
Shiranian, Trainability,Wanderlust Potential,2
Shiranian, Physical Needs,Energy Level,2
Shiranian, Physical Needs,Intensity,3
Shiranian, Physical Needs,Exercise Needs,2
Shiranian, Physical Needs,Potential For Playfulness,4
Shiloh Shepherd, Adaptability,Adapts Well To Apartment Living,1
Shiloh Shepherd, Adaptability,Good For Novice Owners,2
Shiloh Shepherd, Adaptability,Sensitivity Level,4
Shiloh Shepherd, Adaptability,Tolerates Being Alone,2
Shiloh Shepherd, Adaptability,Tolerates Cold Weather,5
Shiloh Shepherd, Adaptability,Tolerates Hot Weather,4
Shiloh Shepherd, All Around Friendliness,Affectionate With Family,5
Shiloh Shepherd, All Around Friendliness,Kid-Friendly,5
Shiloh Shepherd, All Around Friendliness,Dog Friendly,4
Shiloh Shepherd, All Around Friendliness,Friendly Toward Strangers,5
Shiloh Shepherd, Health And Grooming Needs,Amount Of Shedding,4
Shiloh Shepherd, Health And Grooming Needs,Drooling Potential,3
Shiloh Shepherd, Health And Grooming Needs,Easy To Groom,4
Shiloh Shepherd, Health And Grooming Needs,General Health,3
Shiloh Shepherd, Health And Grooming Needs,Potential For Weight Gain,4
Shiloh Shepherd, Health And Grooming Needs,Size,5
Shiloh Shepherd, Trainability,Easy To Train,5
Shiloh Shepherd, Trainability,Intelligence,5
Shiloh Shepherd, Trainability,Potential For Mouthiness,4
Shiloh Shepherd, Trainability,Prey Drive,1
Shiloh Shepherd, Trainability,Tendency To Bark Or Howl,4
Shiloh Shepherd, Trainability,Wanderlust Potential,3
Shiloh Shepherd, Physical Needs,Energy Level,4
Shiloh Shepherd, Physical Needs,Intensity,4
Shiloh Shepherd, Physical Needs,Exercise Needs,4
Shiloh Shepherd, Physical Needs,Potential For Playfulness,5
Shikoku, Adaptability,Adapts Well To Apartment Living,3
Shikoku, Adaptability,Good For Novice Owners,2
Shikoku, Adaptability,Sensitivity Level,3
Shikoku, Adaptability,Tolerates Being Alone,3
Shikoku, Adaptability,Tolerates Cold Weather,5
Shikoku, Adaptability,Tolerates Hot Weather,4
Shikoku, All Around Friendliness,Affectionate With Family,4
Shikoku, All Around Friendliness,Kid-Friendly,3
Shikoku, All Around Friendliness,Dog Friendly,2
Shikoku, All Around Friendliness,Friendly Toward Strangers,2
Shikoku, Health And Grooming Needs,Amount Of Shedding,4
Shikoku, Health And Grooming Needs,Drooling Potential,1
Shikoku, Health And Grooming Needs,Easy To Groom,4
Shikoku, Health And Grooming Needs,General Health,5
Shikoku, Health And Grooming Needs,Potential For Weight Gain,4
Shikoku, Health And Grooming Needs,Size,3
Shikoku, Trainability,Easy To Train,2
Shikoku, Trainability,Intelligence,4
Shikoku, Trainability,Potential For Mouthiness,2
Shikoku, Trainability,Prey Drive,4
Shikoku, Trainability,Tendency To Bark Or Howl,2
Shikoku, Trainability,Wanderlust Potential,3
Shikoku, Physical Needs,Energy Level,3
Shikoku, Physical Needs,Intensity,3
Shikoku, Physical Needs,Exercise Needs,3
Shikoku, Physical Needs,Potential For Playfulness,2
Shih Tzu, Adaptability,Adapts Well To Apartment Living,5
Shih Tzu, Adaptability,Good For Novice Owners,5
Shih Tzu, Adaptability,Sensitivity Level,3
Shih Tzu, Adaptability,Tolerates Being Alone,3
Shih Tzu, Adaptability,Tolerates Cold Weather,3
Shih Tzu, Adaptability,Tolerates Hot Weather,1
Shih Tzu, All Around Friendliness,Affectionate With Family,5
Shih Tzu, All Around Friendliness,Kid-Friendly,4
Shih Tzu, All Around Friendliness,Dog Friendly,4
Shih Tzu, All Around Friendliness,Friendly Toward Strangers,5
Shih Tzu, Health And Grooming Needs,Amount Of Shedding,3
Shih Tzu, Health And Grooming Needs,Drooling Potential,1
Shih Tzu, Health And Grooming Needs,Easy To Groom,1
Shih Tzu, Health And Grooming Needs,General Health,3
Shih Tzu, Health And Grooming Needs,Potential For Weight Gain,4
Shih Tzu, Health And Grooming Needs,Size,1
Shih Tzu, Trainability,Easy To Train,3
Shih Tzu, Trainability,Intelligence,4
Shih Tzu, Trainability,Potential For Mouthiness,4
Shih Tzu, Trainability,Prey Drive,4
Shih Tzu, Trainability,Tendency To Bark Or Howl,2
Shih Tzu, Trainability,Wanderlust Potential,2
Shih Tzu, Physical Needs,Energy Level,2
Shih Tzu, Physical Needs,Intensity,3
Shih Tzu, Physical Needs,Exercise Needs,2
Shih Tzu, Physical Needs,Potential For Playfulness,4
Shih-Poo, Adaptability,Adapts Well To Apartment Living,5
Shih-Poo, Adaptability,Good For Novice Owners,2
Shih-Poo, Adaptability,Sensitivity Level,4
Shih-Poo, Adaptability,Tolerates Being Alone,2
Shih-Poo, Adaptability,Tolerates Cold Weather,3
Shih-Poo, Adaptability,Tolerates Hot Weather,2
Shih-Poo, All Around Friendliness,Affectionate With Family,5
Shih-Poo, All Around Friendliness,Kid-Friendly,3
Shih-Poo, All Around Friendliness,Dog Friendly,2
Shih-Poo, All Around Friendliness,Friendly Toward Strangers,4
Shih-Poo, Health And Grooming Needs,Amount Of Shedding,1
Shih-Poo, Health And Grooming Needs,Drooling Potential,1
Shih-Poo, Health And Grooming Needs,Easy To Groom,2
Shih-Poo, Health And Grooming Needs,General Health,3
Shih-Poo, Health And Grooming Needs,Potential For Weight Gain,4
Shih-Poo, Health And Grooming Needs,Size,1
Shih-Poo, Trainability,Easy To Train,2
Shih-Poo, Trainability,Intelligence,4
Shih-Poo, Trainability,Potential For Mouthiness,3
Shih-Poo, Trainability,Prey Drive,2
Shih-Poo, Trainability,Tendency To Bark Or Howl,2
Shih-Poo, Trainability,Wanderlust Potential,2
Shih-Poo, Physical Needs,Energy Level,3
Shih-Poo, Physical Needs,Intensity,1
Shih-Poo, Physical Needs,Exercise Needs,2
Shih-Poo, Physical Needs,Potential For Playfulness,4
Shichon, Adaptability,Adapts Well To Apartment Living,5
Shichon, Adaptability,Good For Novice Owners,4
Shichon, Adaptability,Sensitivity Level,4
Shichon, Adaptability,Tolerates Being Alone,1
Shichon, Adaptability,Tolerates Cold Weather,2
Shichon, Adaptability,Tolerates Hot Weather,2
Shichon, All Around Friendliness,Affectionate With Family,5
Shichon, All Around Friendliness,Kid-Friendly,5
Shichon, All Around Friendliness,Dog Friendly,4
Shichon, All Around Friendliness,Friendly Toward Strangers,4
Shichon, Health And Grooming Needs,Amount Of Shedding,1
Shichon, Health And Grooming Needs,Drooling Potential,1
Shichon, Health And Grooming Needs,Easy To Groom,4
Shichon, Health And Grooming Needs,General Health,4
Shichon, Health And Grooming Needs,Potential For Weight Gain,3
Shichon, Health And Grooming Needs,Size,2
Shichon, Trainability,Easy To Train,3
Shichon, Trainability,Intelligence,4
Shichon, Trainability,Potential For Mouthiness,1
Shichon, Trainability,Prey Drive,1
Shichon, Trainability,Tendency To Bark Or Howl,2
Shichon, Trainability,Wanderlust Potential,1
Shichon, Physical Needs,Energy Level,4
Shichon, Physical Needs,Intensity,2
Shichon, Physical Needs,Exercise Needs,3
Shichon, Physical Needs,Potential For Playfulness,5
Tibetan Terrier, Adaptability,Adapts Well To Apartment Living,5
Tibetan Terrier, Adaptability,Good For Novice Owners,3
Tibetan Terrier, Adaptability,Sensitivity Level,4
Tibetan Terrier, Adaptability,Tolerates Being Alone,1
Tibetan Terrier, Adaptability,Tolerates Cold Weather,4
Tibetan Terrier, Adaptability,Tolerates Hot Weather,4
Tibetan Terrier, All Around Friendliness,Affectionate With Family,5
Tibetan Terrier, All Around Friendliness,Kid-Friendly,5
Tibetan Terrier, All Around Friendliness,Dog Friendly,4
Tibetan Terrier, All Around Friendliness,Friendly Toward Strangers,3
Tibetan Terrier, Health And Grooming Needs,Amount Of Shedding,1
Tibetan Terrier, Health And Grooming Needs,Drooling Potential,1
Tibetan Terrier, Health And Grooming Needs,Easy To Groom,1
Tibetan Terrier, Health And Grooming Needs,General Health,5
Tibetan Terrier, Health And Grooming Needs,Potential For Weight Gain,3
Tibetan Terrier, Health And Grooming Needs,Size,2
Tibetan Terrier, Trainability,Easy To Train,4
Tibetan Terrier, Trainability,Intelligence,4
Tibetan Terrier, Trainability,Potential For Mouthiness,2
Tibetan Terrier, Trainability,Prey Drive,2
Tibetan Terrier, Trainability,Tendency To Bark Or Howl,4
Tibetan Terrier, Trainability,Wanderlust Potential,3
Tibetan Terrier, Physical Needs,Energy Level,5
Tibetan Terrier, Physical Needs,Intensity,4
Tibetan Terrier, Physical Needs,Exercise Needs,5
Tibetan Terrier, Physical Needs,Potential For Playfulness,5
Shiba Inu, Adaptability,Adapts Well To Apartment Living,5
Shiba Inu, Adaptability,Good For Novice Owners,4
Shiba Inu, Adaptability,Sensitivity Level,3
Shiba Inu, Adaptability,Tolerates Being Alone,5
Shiba Inu, Adaptability,Tolerates Cold Weather,4
Shiba Inu, Adaptability,Tolerates Hot Weather,3
Shiba Inu, All Around Friendliness,Affectionate With Family,4
Shiba Inu, All Around Friendliness,Kid-Friendly,3
Shiba Inu, All Around Friendliness,Dog Friendly,3
Shiba Inu, All Around Friendliness,Friendly Toward Strangers,3
Shiba Inu, Health And Grooming Needs,Amount Of Shedding,4
Shiba Inu, Health And Grooming Needs,Drooling Potential,1
Shiba Inu, Health And Grooming Needs,Easy To Groom,4
Shiba Inu, Health And Grooming Needs,General Health,3
Shiba Inu, Health And Grooming Needs,Potential For Weight Gain,2
Shiba Inu, Health And Grooming Needs,Size,2
Shiba Inu, Trainability,Easy To Train,2
Shiba Inu, Trainability,Intelligence,4
Shiba Inu, Trainability,Potential For Mouthiness,4
Shiba Inu, Trainability,Prey Drive,3
Shiba Inu, Trainability,Tendency To Bark Or Howl,4
Shiba Inu, Trainability,Wanderlust Potential,4
Shiba Inu, Physical Needs,Energy Level,4
Shiba Inu, Physical Needs,Intensity,2
Shiba Inu, Physical Needs,Exercise Needs,3
Shiba Inu, Physical Needs,Potential For Playfulness,3
Shepsky, Adaptability,Adapts Well To Apartment Living,1
Shepsky, Adaptability,Good For Novice Owners,1
Shepsky, Adaptability,Sensitivity Level,4
Shepsky, Adaptability,Tolerates Being Alone,2
Shepsky, Adaptability,Tolerates Cold Weather,4
Shepsky, Adaptability,Tolerates Hot Weather,3
Shepsky, All Around Friendliness,Affectionate With Family,5
Shepsky, All Around Friendliness,Kid-Friendly,4
Shepsky, All Around Friendliness,Dog Friendly,3
Shepsky, All Around Friendliness,Friendly Toward Strangers,4
Shepsky, Health And Grooming Needs,Amount Of Shedding,4
Shepsky, Health And Grooming Needs,Drooling Potential,2
Shepsky, Health And Grooming Needs,Easy To Groom,3
Shepsky, Health And Grooming Needs,General Health,4
Shepsky, Health And Grooming Needs,Potential For Weight Gain,2
Shepsky, Health And Grooming Needs,Size,4
Shepsky, Trainability,Easy To Train,4
Shepsky, Trainability,Intelligence,5
Shepsky, Trainability,Potential For Mouthiness,4
Shepsky, Trainability,Prey Drive,4
Shepsky, Trainability,Tendency To Bark Or Howl,3
Shepsky, Trainability,Wanderlust Potential,2
Shepsky, Physical Needs,Energy Level,5
Shepsky, Physical Needs,Intensity,4
Shepsky, Physical Needs,Exercise Needs,5
Shepsky, Physical Needs,Potential For Playfulness,5
Sheepadoodle, Adaptability,Adapts Well To Apartment Living,4
Sheepadoodle, Adaptability,Good For Novice Owners,4
Sheepadoodle, Adaptability,Sensitivity Level,5
Sheepadoodle, Adaptability,Tolerates Being Alone,2
Sheepadoodle, Adaptability,Tolerates Cold Weather,4
Sheepadoodle, Adaptability,Tolerates Hot Weather,3
Sheepadoodle, All Around Friendliness,Affectionate With Family,5
Sheepadoodle, All Around Friendliness,Kid-Friendly,5
Sheepadoodle, All Around Friendliness,Dog Friendly,4
Sheepadoodle, All Around Friendliness,Friendly Toward Strangers,4
Sheepadoodle, Health And Grooming Needs,Amount Of Shedding,1
Sheepadoodle, Health And Grooming Needs,Drooling Potential,1
Sheepadoodle, Health And Grooming Needs,Easy To Groom,3
Sheepadoodle, Health And Grooming Needs,General Health,4
Sheepadoodle, Health And Grooming Needs,Potential For Weight Gain,4
Sheepadoodle, Health And Grooming Needs,Size,4
Sheepadoodle, Trainability,Easy To Train,3
Sheepadoodle, Trainability,Intelligence,5
Sheepadoodle, Trainability,Potential For Mouthiness,3
Sheepadoodle, Trainability,Prey Drive,1
Sheepadoodle, Trainability,Tendency To Bark Or Howl,2
Sheepadoodle, Trainability,Wanderlust Potential,2
Sheepadoodle, Physical Needs,Energy Level,4
Sheepadoodle, Physical Needs,Intensity,3
Sheepadoodle, Physical Needs,Exercise Needs,4
Sheepadoodle, Physical Needs,Potential For Playfulness,5
Small Munsterlander Pointer, Adaptability,Adapts Well To Apartment Living,1
Small Munsterlander Pointer, Adaptability,Good For Novice Owners,2
Small Munsterlander Pointer, Adaptability,Sensitivity Level,3
Small Munsterlander Pointer, Adaptability,Tolerates Being Alone,4
Small Munsterlander Pointer, Adaptability,Tolerates Cold Weather,5
Small Munsterlander Pointer, Adaptability,Tolerates Hot Weather,3
Small Munsterlander Pointer, All Around Friendliness,Affectionate With Family,5
Small Munsterlander Pointer, All Around Friendliness,Kid-Friendly,5
Small Munsterlander Pointer, All Around Friendliness,Dog Friendly,5
Small Munsterlander Pointer, All Around Friendliness,Friendly Toward Strangers,4
Small Munsterlander Pointer, Health And Grooming Needs,Amount Of Shedding,3
Small Munsterlander Pointer, Health And Grooming Needs,Drooling Potential,1
Small Munsterlander Pointer, Health And Grooming Needs,Easy To Groom,3
Small Munsterlander Pointer, Health And Grooming Needs,General Health,5
Small Munsterlander Pointer, Health And Grooming Needs,Potential For Weight Gain,3
Small Munsterlander Pointer, Health And Grooming Needs,Size,3
Small Munsterlander Pointer, Trainability,Easy To Train,5
Small Munsterlander Pointer, Trainability,Intelligence,5
Small Munsterlander Pointer, Trainability,Potential For Mouthiness,3
Small Munsterlander Pointer, Trainability,Prey Drive,5
Small Munsterlander Pointer, Trainability,Tendency To Bark Or Howl,3
